hhcluster_id,h_size,n_triangles
310100001079334495,58,17
310100000756693383,53,11
310100000731298604,50,15
310100000917371608,49,42
310100000199312779,48,31
310100000726437993,48,19
310100001601577745,48,16
310100000088048880,48,12
310100000033429143,48,11
310100000758716367,47,28
310100001395359456,47,26
310100000817985207,47,17
310100000089204577,47,15
310100000218046240,47,15
310100000626624204,47,11
310100000154123084,46,22
310100000155273700,46,16
310100000051005598,46,14
310100000848928688,46,12
310100001112582318,46,11
310100000209407499,46,9
310100000222599813,46,9
310100000215752231,46,4
310100001439113672,45,36
310100001798404764,45,25
310100000757787013,45,24
310100001438898245,45,13
310100000001612448,45,9
310100000752861864,45,5
310100001262508862,44,27
310100001374863155,44,24
310100000508173678,44,23
310100001264682475,44,23
310100000022554202,44,22
310100000642984364,44,19
310100000797817828,44,16
310100001597269765,44,15
310100000814137302,44,13
310100000096563365,44,12
310100000643985582,44,11
310100000744135171,44,11
310100001182340751,44,11
310100001241516207,44,8
310100000535397699,43,30
310100000812935760,43,26
310100000388465965,43,24
310100000741793410,43,22
310100000064653305,43,18
310100000205805828,43,16
310100000027088292,43,13
310100000060539842,43,13
310100000884823334,43,13
310100000803256889,43,10
310100001310307732,43,9
310100001439090214,43,8
310100000001567905,43,7
310100000927223636,43,7
310100001086637679,43,6
310100000113312389,43,4
310100000096446989,42,26
310100000787051742,42,23
310100000965919732,42,21
310100001258859763,42,21
310100000630995948,42,20
310100000821312416,42,20
310100001067073480,42,19
310100001160545830,42,19
310100001862755597,42,19
310100000055992592,42,18
310100001634562181,42,12
310100001699956855,42,12
310100000033773506,42,11
310100000078247287,42,9
310100000849937514,42,7
310100001155159883,42,6
310100001338674680,42,4
310100000048463134,41,31
310100001245249719,41,31
310100001625532180,41,31
310100000023184390,41,29
310100000321127786,41,24
310100001258419432,41,23
310100001593219935,41,23
310100000978261956,41,21
310100000037364429,41,20
310100000923684880,41,20
310100001574450952,41,20
310100000202898888,41,19
310100000295063384,41,19
310100000722142254,41,19
310100000818773106,41,19
310100000103229031,41,18
310100000027106133,41,17
310100001049013060,41,17
310100000219443134,41,16
310100000729060325,41,16
310100000761812022,41,16
310100000001789480,41,15
310100000968460857,41,15
310100000509155386,41,14
310100001182716108,41,13
310100000025692055,41,11
310100000656222901,41,11
310100001252875686,41,11
310100000217694480,41,9
310100001160577339,41,8
310100000846339403,41,7
310100001003889613,41,7
310100001529105309,41,7
310100000218793182,41,6
310100000219134426,41,6
310100000359596232,41,6
310100000381512291,41,5
310100001601734651,41,5
310100000958602754,41,4
310100001593490045,41,1
310100000819525968,40,31
310100000724212115,40,27
310100001529677593,40,25
310100000076603022,40,23
310100001490321034,40,22
310100000207546504,40,21
310100000965533651,40,19
310100000252067463,40,18
310100000003424793,40,17
310100000217360276,40,17
310100001089169827,40,17
310100003009887322,40,17
310100000218548853,40,16
310100000907855121,40,14
310100001182695470,40,13
310100001478437197,40,12
310100001867781881,40,12
310100000094959630,40,11
310100000366366271,40,11
310100001735240259,40,11
310100002222140127,40,11
310100000787047664,40,10
310100000796427721,40,10
310100000218773914,40,8
310100000713490666,40,8
310100000249892162,40,6
310100000880105891,40,6
310100000001964138,40,5
310100000047798494,40,5
310100000818902098,40,5
310100001605081553,40,5
310100002221163583,40,2
310100000436595305,39,27
310100000002820916,39,24
310100000182772237,39,21
310100000990856394,39,21
310100000081291793,39,20
310100000341147840,39,20
310100000932397527,39,20
310100000222664020,39,19
310100000623435153,39,19
310100000630516475,39,17
310100000914072302,39,17
310100000965543261,39,17
310100001487749828,39,16
310100000222869932,39,14
310100001084459234,39,14
310100001233755380,39,14
310100001235196771,39,14
310100001622549940,39,14
310100000377256233,39,13
310100001538476349,39,13
310100000023892740,39,12
310100000088910293,39,12
310100000881555282,39,12
310100001622565560,39,11
310100001623232599,39,11
310100001638016711,39,11
310100001647866805,39,11
310100000604802632,39,10
310100000903327898,39,10
310100001781560695,39,10
310100000472778202,39,9
310100000956086279,39,9
310100000151305472,39,8
310100000712029721,39,8
310100000085188596,39,7
310100000963449694,39,7
310100000424729005,39,6
310100000087599222,39,5
310100000681253918,39,3
310100000051066035,39,0
310100000754905449,38,29
310100000215729760,38,28
310100000220353775,38,25
310100000702645247,38,25
310100001536365049,38,25
310100000649825411,38,23
310100000752355517,38,23
310100000775345151,38,22
310100000221251855,38,21
310100001383445747,38,21
310100000034205002,38,20
310100000800891152,38,20
310100000216651979,38,19
310100000318915256,38,18
310100001007902918,38,18
310100001189600271,38,17
310100000980758893,38,16
310100000091761235,38,15
310100000813850684,38,15
310100001921416541,38,15
310100001642464400,38,13
310100001970058327,38,13
310100000047983832,38,12
310100000221384723,38,12
310100000217732197,38,11
310100001468133502,38,11
310100000950376868,38,10
310100001244932647,38,10
310100001284614425,38,10
310100000222813374,38,9
310100000223214446,38,9
310100000903199843,38,9
310100000961712483,38,9
310100001188458197,38,9
310100000001096333,38,8
310100000035809726,38,8
310100000221268052,38,8
310100000662682821,38,8
310100001329232903,38,8
310100000635955205,38,7
310100000800907488,38,7
310100001372021324,38,7
310100000214321501,38,6
310100000218913378,38,6
310100000785226319,38,6
310100001381211289,38,6
310100002164329175,38,6
310100000025544509,38,5
310100000219028639,38,5
310100000339714067,38,5
310100001755811321,38,4
310100000923661249,38,2
310100000661389540,37,30
310100000001280049,37,25
310100000830877716,37,25
310100000603216326,37,23
310100000032218129,37,21
310100000217637740,37,21
310100000223500292,37,21
310100000003715823,37,20
310100000207515687,37,20
310100001679104327,37,20
310100000051436227,37,19
310100000085286086,37,17
310100000607214691,37,17
310100000931830221,37,17
310100000214283981,37,16
310100001258441728,37,16
310100001531728990,37,16
310100001642098502,37,16
310100000721573823,37,15
310100001384241639,37,15
310100002202721107,37,15
310100000638377712,37,14
310100001921823761,37,14
310100000019802538,37,13
310100000078037490,37,13
310100000661387352,37,13
310100001865437332,37,12
310100001397477874,37,11
310100000222820873,37,10
310100000798839797,37,10
310100000034897217,37,9
310100000226498684,37,9
310100001104278778,37,9
310100001491138478,37,8
310100002208224930,37,8
310100000212898485,37,7
310100000220451522,37,7
310100001014064921,37,7
310100001114679033,37,7
310100001837023896,37,7
310100000026741693,37,6
310100000158093720,37,6
310100000784192963,37,6
310100000881162933,37,6
310100000053786365,37,5
310100001074681063,37,5
310100000696330677,37,4
310100001254881403,37,4
310100001574942221,37,4
310100000029824592,37,3
310100000785140295,37,3
310100000000175745,37,2
310100001008064860,37,2
310100000099664714,37,1
310100000756241132,37,1
310100000217604312,36,27
310100000650324693,36,27
310100000831170950,36,25
310100001852559676,36,25
310100000294321638,36,21
310100001260160405,36,21
310100000222177920,36,20
310100001673218517,36,20
310100001101808813,36,19
310100000009671775,36,18
310100000363084178,36,18
310100000763138114,36,18
310100000771748957,36,18
310100000813930121,36,18
310100001145453029,36,17
310100001870889315,36,17
310100000187078024,36,16
310100000777345812,36,16
310100000918932756,36,16
310100000887535372,36,15
310100001281885865,36,15
310100000775106201,36,14
310100000982026272,36,14
310100001058111885,36,14
310100001264788749,36,14
310100001664225149,36,14
310100000214226698,36,13
310100001558209707,36,13
310100001831571409,36,13
310100000222565072,36,12
310100000714883933,36,12
310100000916442833,36,12
310100000978714278,36,12
310100001465673485,36,12
310100001522726607,36,12
310100000005610503,36,11
310100000340285366,36,11
310100000340987306,36,11
310100000621916554,36,11
310100000848929829,36,11
310100000853848057,36,11
310100000923222521,36,11
310100000994915889,36,11
310100001322803123,36,11
310100000419536892,36,10
310100000486718582,36,10
310100000795932171,36,10
310100001007689908,36,10
310100001466674406,36,10
310100000065238667,36,9
310100000220558384,36,9
310100000647711508,36,9
310100000955831691,36,9
310100001362186948,36,9
310100001439474070,36,9
310100001748458276,36,9
310100000017874953,36,8
310100000026275768,36,8
310100000217786000,36,8
310100000223038259,36,8
310100001100160489,36,8
310100001248374405,36,8
310100001254856181,36,8
310100001611421433,36,8
310100000175132532,36,7
310100000222844178,36,7
310100000605545704,36,7
310100000761094580,36,7
310100000847776937,36,7
310100001040277774,36,7
310100001085080885,36,7
310100001496183430,36,7
310100001576576433,36,7
310100000092655225,36,6
310100001518625060,36,6
310100001605697770,36,6
310100000423509048,36,4
310100000598372663,36,4
310100000745809967,36,4
310100000673114063,36,3
310100000813336828,36,3
310100001234842600,36,3
310100000005836000,36,2
310100000341059397,36,2
310100001996576723,35,25
310100000162386447,35,22
310100000219159605,35,21
310100000002724286,35,19
310100000647802355,35,19
310100000658250814,35,19
310100000786066670,35,17
310100000340741901,35,15
310100000341090473,35,15
310100000597792254,35,15
310100001315265434,35,15
310100000004795220,35,14
310100000014243997,35,14
310100000026911546,35,14
310100000096840886,35,14
