,dim,walk_len,n_walks,p,q,window,ARI
0,10,5,5,0.75,1.0,5,-0.014150943396226415
1,10,5,5,0.75,1.0,10,0.008064516129032258
2,10,5,5,0.75,1.0,15,-0.04032258064516129
3,10,5,10,0.75,1.0,5,-0.029411764705882353
4,10,5,10,0.75,1.0,10,0.0196078431372549
5,10,5,10,0.75,1.0,15,0.008064516129032258
6,10,5,15,0.75,1.0,5,0.008064516129032258
7,10,5,15,0.75,1.0,10,0.0196078431372549
8,10,5,15,0.75,1.0,15,0.0196078431372549
9,10,15,5,0.75,1.0,5,0.008064516129032258
10,10,15,5,0.75,1.0,10,0.008064516129032258
11,10,15,5,0.75,1.0,15,-0.08870967741935484
12,10,15,10,0.75,1.0,5,0.0330188679245283
13,10,15,10,0.75,1.0,10,0.056451612903225805
14,10,15,10,0.75,1.0,15,0.10483870967741936
15,10,15,15,0.75,1.0,5,0.008064516129032258
16,10,15,15,0.75,1.0,10,0.056451612903225805
17,10,15,15,0.75,1.0,15,0.056451612903225805
18,10,25,5,0.75,1.0,5,-0.06132075471698113
19,10,25,5,0.75,1.0,10,0.008064516129032258
20,10,25,5,0.75,1.0,15,0.008064516129032258
21,10,25,10,0.75,1.0,5,0.056451612903225805
22,10,25,10,0.75,1.0,10,0.056451612903225805
23,10,25,10,0.75,1.0,15,0.056451612903225805
24,10,25,15,0.75,1.0,5,0.06862745098039216
25,10,25,15,0.75,1.0,10,-0.029411764705882353
26,10,25,15,0.75,1.0,15,-0.024844720496894408
27,10,35,5,0.75,1.0,5,0.06862745098039216
28,10,35,5,0.75,1.0,10,-0.024844720496894408
29,10,35,5,0.75,1.0,15,-0.024844720496894408
30,10,35,10,0.75,1.0,5,-0.024844720496894408
31,10,35,10,0.75,1.0,10,-0.04032258064516129
32,10,35,10,0.75,1.0,15,-0.024844720496894408
33,10,35,15,0.75,1.0,5,-0.024844720496894408
34,10,35,15,0.75,1.0,10,-0.024844720496894408
35,10,35,15,0.75,1.0,15,0.008064516129032258
36,10,45,5,0.75,1.0,5,-0.024844720496894408
37,10,45,5,0.75,1.0,10,-0.024844720496894408
38,10,45,5,0.75,1.0,15,-0.024844720496894408
39,10,45,10,0.75,1.0,5,-0.024844720496894408
40,10,45,10,0.75,1.0,10,-0.029411764705882353
41,10,45,10,0.75,1.0,15,-0.04032258064516129
42,10,45,15,0.75,1.0,5,-0.024844720496894408
43,10,45,15,0.75,1.0,10,0.056451612903225805
44,10,45,15,0.75,1.0,15,-0.024844720496894408
45,10,55,5,0.75,1.0,5,-0.024844720496894408
46,10,55,5,0.75,1.0,10,0.0196078431372549
47,10,55,5,0.75,1.0,15,-0.024844720496894408
48,10,55,10,0.75,1.0,5,-0.024844720496894408
49,10,55,10,0.75,1.0,10,0.056451612903225805
50,10,55,10,0.75,1.0,15,-0.024844720496894408
51,10,55,15,0.75,1.0,5,0.008064516129032258
52,10,55,15,0.75,1.0,10,-0.024844720496894408
53,10,55,15,0.75,1.0,15,-0.04032258064516129
54,10,65,5,0.75,1.0,5,0.008064516129032258
55,10,65,5,0.75,1.0,10,-0.024844720496894408
56,10,65,5,0.75,1.0,15,0.008064516129032258
57,10,65,10,0.75,1.0,5,-0.024844720496894408
58,10,65,10,0.75,1.0,10,-0.024844720496894408
59,10,65,10,0.75,1.0,15,-0.024844720496894408
60,10,65,15,0.75,1.0,5,-0.024844720496894408
61,10,65,15,0.75,1.0,10,-0.04032258064516129
62,10,65,15,0.75,1.0,15,-0.024844720496894408
63,10,75,5,0.75,1.0,5,-0.04032258064516129
64,10,75,5,0.75,1.0,10,-0.024844720496894408
65,10,75,5,0.75,1.0,15,0.0196078431372549
66,10,75,10,0.75,1.0,5,-0.024844720496894408
67,10,75,10,0.75,1.0,10,-0.024844720496894408
68,10,75,10,0.75,1.0,15,-0.024844720496894408
69,10,75,15,0.75,1.0,5,-0.024844720496894408
70,10,75,15,0.75,1.0,10,0.008064516129032258
71,10,75,15,0.75,1.0,15,-0.024844720496894408
72,20,5,5,0.75,1.0,5,0.008064516129032258
73,20,5,5,0.75,1.0,10,0.008064516129032258
74,20,5,5,0.75,1.0,15,-0.08870967741935484
75,20,5,10,0.75,1.0,5,0.20161290322580644
76,20,5,10,0.75,1.0,10,0.11764705882352941
77,20,5,10,0.75,1.0,15,0.06862745098039216
78,20,5,15,0.75,1.0,5,0.0196078431372549
79,20,5,15,0.75,1.0,10,0.06862745098039216
80,20,5,15,0.75,1.0,15,0.056451612903225805
81,20,15,5,0.75,1.0,5,-0.0031847133757961785
82,20,15,5,0.75,1.0,10,-0.04032258064516129
83,20,15,5,0.75,1.0,15,-0.029411764705882353
84,20,15,10,0.75,1.0,5,0.056451612903225805
85,20,15,10,0.75,1.0,10,0.10483870967741936
86,20,15,10,0.75,1.0,15,-0.029411764705882353
87,20,15,15,0.75,1.0,5,0.0196078431372549
88,20,15,15,0.75,1.0,10,-0.024844720496894408
89,20,15,15,0.75,1.0,15,0.056451612903225805
90,20,25,5,0.75,1.0,5,-0.0031847133757961785
91,20,25,5,0.75,1.0,10,0.1532258064516129
92,20,25,5,0.75,1.0,15,0.06862745098039216
93,20,25,10,0.75,1.0,5,0.06862745098039216
94,20,25,10,0.75,1.0,10,-0.024844720496894408
95,20,25,10,0.75,1.0,15,0.06862745098039216
96,20,25,15,0.75,1.0,5,-0.024844720496894408
97,20,25,15,0.75,1.0,10,-0.024844720496894408
98,20,25,15,0.75,1.0,15,-0.024844720496894408
99,20,35,5,0.75,1.0,5,0.008064516129032258
100,20,35,5,0.75,1.0,10,-0.024844720496894408
101,20,35,5,0.75,1.0,15,0.06862745098039216
102,20,35,10,0.75,1.0,5,-0.024844720496894408
103,20,35,10,0.75,1.0,10,-0.029411764705882353
104,20,35,10,0.75,1.0,15,-0.024844720496894408
105,20,35,15,0.75,1.0,5,-0.024844720496894408
106,20,35,15,0.75,1.0,10,-0.024844720496894408
107,20,35,15,0.75,1.0,15,-0.024844720496894408
108,20,45,5,0.75,1.0,5,-0.024844720496894408
109,20,45,5,0.75,1.0,10,-0.024844720496894408
110,20,45,5,0.75,1.0,15,-0.024844720496894408
111,20,45,10,0.75,1.0,5,-0.024844720496894408
112,20,45,10,0.75,1.0,10,0.056451612903225805
113,20,45,10,0.75,1.0,15,0.008064516129032258
114,20,45,15,0.75,1.0,5,-0.024844720496894408
115,20,45,15,0.75,1.0,10,-0.024844720496894408
116,20,45,15,0.75,1.0,15,-0.024844720496894408
117,20,55,5,0.75,1.0,5,-0.024844720496894408
118,20,55,5,0.75,1.0,10,-0.024844720496894408
