,dim,walk_len,n_walks,p,q,window,hopkins
0,10,5,5,0.75,1.0,5,0.7271486948903377
1,10,5,5,0.75,1.0,10,0.6164208534884893
2,10,5,5,0.75,1.0,15,0.6673717223479331
3,10,5,10,0.75,1.0,5,0.6304714738451965
4,10,5,10,0.75,1.0,10,0.7013937319037999
5,10,5,10,0.75,1.0,15,0.641265044866157
6,10,5,15,0.75,1.0,5,0.6786753274373271
7,10,5,15,0.75,1.0,10,0.6663293185133986
8,10,5,15,0.75,1.0,15,0.6262250755586083
9,10,15,5,0.75,1.0,5,0.6476040558380791
10,10,15,5,0.75,1.0,10,0.712141829749383
11,10,15,5,0.75,1.0,15,0.6167251671870128
12,10,15,10,0.75,1.0,5,0.6100421754781741
13,10,15,10,0.75,1.0,10,0.5759302990156213
14,10,15,10,0.75,1.0,15,0.682867057921557
15,10,15,15,0.75,1.0,5,0.6703694783039876
16,10,15,15,0.75,1.0,10,0.4761077991215238
17,10,15,15,0.75,1.0,15,0.4904915096046199
18,10,25,5,0.75,1.0,5,0.687424867007357
19,10,25,5,0.75,1.0,10,0.5918700784672659
20,10,25,5,0.75,1.0,15,0.6299093038243209
21,10,25,10,0.75,1.0,5,0.5926064589812197
22,10,25,10,0.75,1.0,10,0.5617114191216506
23,10,25,10,0.75,1.0,15,0.4854067176166293
24,10,25,15,0.75,1.0,5,0.6190207427230231
25,10,25,15,0.75,1.0,10,0.48968790485454083
26,10,25,15,0.75,1.0,15,0.5579166106547048
27,10,35,5,0.75,1.0,5,0.5416114013885851
28,10,35,5,0.75,1.0,10,0.5462809442919077
29,10,35,5,0.75,1.0,15,0.41727061028853596
30,10,35,10,0.75,1.0,5,0.47449457120960375
31,10,35,10,0.75,1.0,10,0.5226533024961285
32,10,35,10,0.75,1.0,15,0.5551247685730761
33,10,35,15,0.75,1.0,5,0.4457027577878016
34,10,35,15,0.75,1.0,10,0.5625071515778799
35,10,35,15,0.75,1.0,15,0.5933204379411847
36,10,45,5,0.75,1.0,5,0.3520363794854713
37,10,45,5,0.75,1.0,10,0.28548557004169606
38,10,45,5,0.75,1.0,15,0.602921455251145
39,10,45,10,0.75,1.0,5,0.4783774242689289
40,10,45,10,0.75,1.0,10,0.48889160979293184
41,10,45,10,0.75,1.0,15,0.4465706389755579
42,10,45,15,0.75,1.0,5,0.5803349891449976
43,10,45,15,0.75,1.0,10,0.622623738813266
44,10,45,15,0.75,1.0,15,0.5118616670092504
45,10,55,5,0.75,1.0,5,0.6102916638104826
46,10,55,5,0.75,1.0,10,0.5114492689416487
47,10,55,5,0.75,1.0,15,0.4852485803534258
48,10,55,10,0.75,1.0,5,0.5007948154561735
49,10,55,10,0.75,1.0,10,0.5737097190428591
50,10,55,10,0.75,1.0,15,0.5757489811737121
51,10,55,15,0.75,1.0,5,0.5770162530933297
52,10,55,15,0.75,1.0,10,0.6126112433203607
53,10,55,15,0.75,1.0,15,0.5074500837211869
54,10,65,5,0.75,1.0,5,0.4896259665948925
55,10,65,5,0.75,1.0,10,0.4726355311152901
56,10,65,5,0.75,1.0,15,0.43961260279779685
57,10,65,10,0.75,1.0,5,0.6262760606326636
58,10,65,10,0.75,1.0,10,0.5451442630912297
59,10,65,10,0.75,1.0,15,0.5464269521802461
60,10,65,15,0.75,1.0,5,0.5991243343857965
61,10,65,15,0.75,1.0,10,0.6441110765334005
62,10,65,15,0.75,1.0,15,0.5718313356091353
63,10,75,5,0.75,1.0,5,0.5407317826970566
64,10,75,5,0.75,1.0,10,0.5584847963108935
65,10,75,5,0.75,1.0,15,0.6075807296950057
66,10,75,10,0.75,1.0,5,0.6178689241799087
67,10,75,10,0.75,1.0,10,0.6127907230984051
68,10,75,10,0.75,1.0,15,0.5082292413413891
69,10,75,15,0.75,1.0,5,0.5707595087580275
70,10,75,15,0.75,1.0,10,0.5312675474459846
71,10,75,15,0.75,1.0,15,0.5861891840781408
72,20,5,5,0.75,1.0,5,0.722864173547823
73,20,5,5,0.75,1.0,10,0.6221236580573656
74,20,5,5,0.75,1.0,15,0.6616869290276115
75,20,5,10,0.75,1.0,5,0.6517005973833015
76,20,5,10,0.75,1.0,10,0.6704983412842379
77,20,5,10,0.75,1.0,15,0.677997842826193
78,20,5,15,0.75,1.0,5,0.6518123021452243
79,20,5,15,0.75,1.0,10,0.6549128971809101
80,20,5,15,0.75,1.0,15,0.6675478530373151
81,20,15,5,0.75,1.0,5,0.6535929077262117
82,20,15,5,0.75,1.0,10,0.6422712942923336
83,20,15,5,0.75,1.0,15,0.6735546326838896
84,20,15,10,0.75,1.0,5,0.6721898853172092
85,20,15,10,0.75,1.0,10,0.5821515920018817
86,20,15,10,0.75,1.0,15,0.5554622613037422
87,20,15,15,0.75,1.0,5,0.5126807630864031
88,20,15,15,0.75,1.0,10,0.5088709423145896
89,20,15,15,0.75,1.0,15,0.6039673379602507
90,20,25,5,0.75,1.0,5,0.6024652922418791
91,20,25,5,0.75,1.0,10,0.5837124002018383
92,20,25,5,0.75,1.0,15,0.5210282657732433
93,20,25,10,0.75,1.0,5,0.4323889966792881
94,20,25,10,0.75,1.0,10,0.6475731939527817
95,20,25,10,0.75,1.0,15,0.5911287977542853
96,20,25,15,0.75,1.0,5,0.41501183009303844
97,20,25,15,0.75,1.0,10,0.5602875798837288
98,20,25,15,0.75,1.0,15,0.5307267549978159
99,20,35,5,0.75,1.0,5,0.5169771879333405
100,20,35,5,0.75,1.0,10,0.4115738707902244
101,20,35,5,0.75,1.0,15,0.41474584788651
102,20,35,10,0.75,1.0,5,0.5249765535810765
103,20,35,10,0.75,1.0,10,0.5634975670800264
104,20,35,10,0.75,1.0,15,0.5080920500147442
105,20,35,15,0.75,1.0,5,0.511802404460831
106,20,35,15,0.75,1.0,10,0.47058207873054353
107,20,35,15,0.75,1.0,15,0.4431151519363882
108,20,45,5,0.75,1.0,5,0.45555382775645714
109,20,45,5,0.75,1.0,10,0.47614630210239295
110,20,45,5,0.75,1.0,15,0.4830692968232003
111,20,45,10,0.75,1.0,5,0.5106065726950348
112,20,45,10,0.75,1.0,10,0.5377963517906369
113,20,45,10,0.75,1.0,15,0.4639947488056831
114,20,45,15,0.75,1.0,5,0.6221104474754223
115,20,45,15,0.75,1.0,10,0.4737868303568854
116,20,45,15,0.75,1.0,15,0.6560552645515204
117,20,55,5,0.75,1.0,5,0.4341806247492211
118,20,55,5,0.75,1.0,10,0.5511313494309374
119,20,55,5,0.75,1.0,15,0.6103569697808735
120,20,55,10,0.75,1.0,5,0.6459404256594621
121,20,55,10,0.75,1.0,10,0.515803016274533
122,20,55,10,0.75,1.0,15,0.5205035824340818
123,20,55,15,0.75,1.0,5,0.6259950816730611
124,20,55,15,0.75,1.0,10,0.5783483063266154
125,20,55,15,0.75,1.0,15,0.6548268755008266
126,20,65,5,0.75,1.0,5,0.5336688572015953
127,20,65,5,0.75,1.0,10,0.49054377220518725
128,20,65,5,0.75,1.0,15,0.5489221932561897
129,20,65,10,0.75,1.0,5,0.6500176296318955
130,20,65,10,0.75,1.0,10,0.44567220361971965
131,20,65,10,0.75,1.0,15,0.5625557989682035
132,20,65,15,0.75,1.0,5,0.5737138741035261
133,20,65,15,0.75,1.0,10,0.4852640933962252
134,20,65,15,0.75,1.0,15,0.5177245474982021
135,20,75,5,0.75,1.0,5,0.5128875206979803
136,20,75,5,0.75,1.0,10,0.4602438003294089
137,20,75,5,0.75,1.0,15,0.46510734626486677
138,20,75,10,0.75,1.0,5,0.5378846752565811
139,20,75,10,0.75,1.0,10,0.5595222953153652
140,20,75,10,0.75,1.0,15,0.5322625444952375
141,20,75,15,0.75,1.0,5,0.5787456447657299
142,20,75,15,0.75,1.0,10,0.48679534626173815
143,20,75,15,0.75,1.0,15,0.47579952464671493
144,30,5,5,0.75,1.0,5,0.678409081720414
145,30,5,5,0.75,1.0,10,0.5808300858075038
146,30,5,5,0.75,1.0,15,0.6880782166321457
147,30,5,10,0.75,1.0,5,0.6592344258681877
148,30,5,10,0.75,1.0,10,0.6914963601579193
149,30,5,10,0.75,1.0,15,0.6655976158983229
150,30,5,15,0.75,1.0,5,0.697886108200551
151,30,5,15,0.75,1.0,10,0.6801881753882166
152,30,5,15,0.75,1.0,15,0.7062968759495837
153,30,15,5,0.75,1.0,5,0.6504738720082438
154,30,15,5,0.75,1.0,10,0.5821060587190805
155,30,15,5,0.75,1.0,15,0.7374515689074911
156,30,15,10,0.75,1.0,5,0.5455812895880531
157,30,15,10,0.75,1.0,10,0.5935113011582956
158,30,15,10,0.75,1.0,15,0.6305254121824477
159,30,15,15,0.75,1.0,5,0.6019548023217786
160,30,15,15,0.75,1.0,10,0.6628609492743601
161,30,15,15,0.75,1.0,15,0.5312496813172995
162,30,25,5,0.75,1.0,5,0.5457211568274071
163,30,25,5,0.75,1.0,10,0.5243845597457347
164,30,25,5,0.75,1.0,15,0.5101829643393729
165,30,25,10,0.75,1.0,5,0.48843246349079594
166,30,25,10,0.75,1.0,10,0.6703568416895384
167,30,25,10,0.75,1.0,15,0.5822353542403862
