,dim,walk_len,n_walks,p,q,window,modularity
0,10,5,5,0.75,1.0,5,-0.06960371606909564
1,10,5,5,0.75,1.0,10,0.09428073740746121
2,10,5,5,0.75,1.0,15,-0.04144287995354912
3,10,5,10,0.75,1.0,5,-0.0690956597474234
4,10,5,10,0.75,1.0,10,-0.12498185513136884
5,10,5,10,0.75,1.0,15,-0.11852228189867903
6,10,5,15,0.75,1.0,5,-0.07228915662650601
7,10,5,15,0.75,1.0,10,-0.14494121062563503
8,10,5,15,0.75,1.0,15,0.047539555813615936
9,10,15,5,0.75,1.0,5,-0.001959645812164304
10,10,15,5,0.75,1.0,10,0.0015241689650167117
11,10,15,5,0.75,1.0,15,0.03215270721439979
12,10,15,10,0.75,1.0,5,0.3358252286253448
13,10,15,10,0.75,1.0,10,0.4268398896791987
14,10,15,10,0.75,1.0,15,0.23813325591522722
15,10,15,15,0.75,1.0,5,0.5804906372477863
16,10,15,15,0.75,1.0,10,0.5683698650021773
17,10,15,15,0.75,1.0,15,0.5683698650021773
18,10,25,5,0.75,1.0,5,0.5129191464653796
19,10,25,5,0.75,1.0,10,0.5029757584555088
20,10,25,5,0.75,1.0,15,0.5029757584555088
21,10,25,10,0.75,1.0,5,0.5683698650021773
22,10,25,10,0.75,1.0,10,0.6371752068515023
23,10,25,10,0.75,1.0,15,0.6371752068515023
24,10,25,15,0.75,1.0,5,0.6260705472492379
25,10,25,15,0.75,1.0,10,0.5195964581216431
26,10,25,15,0.75,1.0,15,0.6481347075047177
27,10,35,5,0.75,1.0,5,0.6260705472492379
28,10,35,5,0.75,1.0,10,0.6481347075047177
29,10,35,5,0.75,1.0,15,0.6481347075047177
30,10,35,10,0.75,1.0,5,0.6481347075047177
31,10,35,10,0.75,1.0,10,0.5683698650021773
32,10,35,10,0.75,1.0,15,0.6481347075047177
33,10,35,15,0.75,1.0,5,0.6481347075047177
34,10,35,15,0.75,1.0,10,0.6481347075047177
35,10,35,15,0.75,1.0,15,0.6371752068515023
36,10,45,5,0.75,1.0,5,0.6481347075047177
37,10,45,5,0.75,1.0,10,0.6481347075047177
38,10,45,5,0.75,1.0,15,0.6481347075047177
39,10,45,10,0.75,1.0,5,0.6481347075047177
40,10,45,10,0.75,1.0,10,0.6389171142400929
41,10,45,10,0.75,1.0,15,0.580200319349688
42,10,45,15,0.75,1.0,5,0.6481347075047177
43,10,45,15,0.75,1.0,10,0.6371752068515023
44,10,45,15,0.75,1.0,15,0.6481347075047177
45,10,55,5,0.75,1.0,5,0.6481347075047177
46,10,55,5,0.75,1.0,10,0.5802003193496879
47,10,55,5,0.75,1.0,15,0.6481347075047177
48,10,55,10,0.75,1.0,5,0.6481347075047177
49,10,55,10,0.75,1.0,10,0.6371752068515023
50,10,55,10,0.75,1.0,15,0.6481347075047177
51,10,55,15,0.75,1.0,5,0.5683698650021773
52,10,55,15,0.75,1.0,10,0.6481347075047177
53,10,55,15,0.75,1.0,15,0.5918856147481492
54,10,65,5,0.75,1.0,5,0.6371752068515023
55,10,65,5,0.75,1.0,10,0.6481347075047177
56,10,65,5,0.75,1.0,15,0.6371752068515023
57,10,65,10,0.75,1.0,5,0.6481347075047177
58,10,65,10,0.75,1.0,10,0.6481347075047177
59,10,65,10,0.75,1.0,15,0.6481347075047177
60,10,65,15,0.75,1.0,5,0.6481347075047177
61,10,65,15,0.75,1.0,10,0.580200319349688
62,10,65,15,0.75,1.0,15,0.6481347075047177
63,10,75,5,0.75,1.0,5,0.580200319349688
64,10,75,5,0.75,1.0,10,0.6481347075047177
65,10,75,5,0.75,1.0,15,0.5563942517056176
66,10,75,10,0.75,1.0,5,0.6481347075047177
67,10,75,10,0.75,1.0,10,0.6481347075047177
68,10,75,10,0.75,1.0,15,0.6481347075047177
69,10,75,15,0.75,1.0,5,0.6481347075047177
